1/26 10:4:55, 0.0 PSI
1/26 10:4:58, 0.0 PSI
1/26 10:5:1, 0.0 PSI
1/26 18:21:25, 0.3 PSI
1/26 18:21:29, 2.6 PSI
1/26 19:13:9,15.5 PSI
1/26 19:13:12,13.1 PSI
1/26 19:13:16, 0.0 PSI
1/26 19:33:16, 0.7 PSI
1/26 19:33:20, 3.0 PSI
1/26 19:33:23, 3.6 PSI
1/26 19:33:26, 5.1 PSI
1/26 19:33:29, 3.4 PSI
1/26 19:33:32, 6.1 PSI
1/26 19:33:36, 1.0 PSI
1/26 19:33:39, 4.4 PSI
1/26 19:54:21, 4.6 PSI
1/26 19:54:24, 4.5 PSI
1/26 19:54:27, 1.3 PSI
1/26 19:54:30, 4.1 PSI
1/26 19:54:34, 0.0 PSI
1/26 19:54:37, 0.3 PSI
1/26 19:54:40, 4.1 PSI
1/26 19:54:43, 4.3 PSI
1/26 19:54:46, 4.4 PSI
1/26 19:54:50, 4.4 PSI
1/26 19:54:53, 4.3 PSI
1/26 19:54:56, 4.3 PSI
1/26 19:54:59, 4.3 PSI
1/26 19:55:2, 0.1 PSI
1/26 19:55:5, 8.1 PSI
1/26 19:55:9, 4.3 PSI
1/26 19:55:12, 4.3 PSI
1/26 19:55:15, 4.2 PSI
1/26 19:55:18, 4.3 PSI
1/26 19:55:21, 4.2 PSI
1/26 19:55:25, 4.2 PSI
1/26 19:55:28, 4.2 PSI
1/26 19:55:31, 4.2 PSI
1/26 19:55:34, 4.6 PSI
1/26 19:55:37, 5.4 PSI
1/26 19:55:41, 5.3 PSI
1/26 19:55:44, 5.2 PSI
1/26 19:55:47, 5.1 PSI
1/26 19:55:50, 5.1 PSI
1/26 19:55:53, 5.0 PSI
1/26 19:55:57, 5.0 PSI
1/26 19:56:0, 5.1 PSI
1/26 19:56:3, 5.1 PSI
1/26 19:56:6, 5.1 PSI
1/26 19:56:9, 5.1 PSI
1/26 19:56:13, 5.1 PSI
1/26 19:56:16, 5.1 PSI
1/26 19:56:19, 5.1 PSI
1/26 19:56:22, 5.1 PSI
1/26 19:56:25, 5.2 PSI
1/26 19:56:29, 5.1 PSI
1/26 19:56:32, 5.2 PSI
1/26 19:56:35, 5.2 PSI
1/26 19:56:38, 5.2 PSI
1/26 19:56:41, 5.2 PSI
1/26 19:56:45, 5.3 PSI
1/26 19:56:48, 5.2 PSI
1/26 19:56:51, 5.3 PSI
1/26 19:56:54, 5.3 PSI
1/26 19:56:57, 5.3 PSI
1/26 19:57:1, 5.3 PSI
1/26 19:57:4, 5.3 PSI
1/26 19:57:7, 5.6 PSI
1/26 19:57:10, 5.5 PSI
1/26 19:57:13, 5.5 PSI
1/26 19:57:17, 5.5 PSI
1/26 19:57:20, 5.6 PSI
1/26 19:57:23, 5.6 PSI
1/26 19:57:26, 5.5 PSI
1/26 19:57:29, 5.5 PSI
1/26 19:57:33, 5.5 PSI
1/26 19:57:36, 5.5 PSI
1/26 19:57:39, 5.5 PSI
1/26 19:57:42, 5.5 PSI
1/26 19:57:45, 5.5 PSI
